BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,IND,1,-6.62,-6.62,3.56,3.46,-42.18,-42.15
,KC,1,-43.92,-43.92,-38.15,-68.33,-52.74,-56.77
,DAL,1,-21.57,-21.57,-36.8,-34.06,0.92,1.61
,DET,1,-60.9,-60.9,-71.92,-66.69,-5.56,-6.57
,LA,1,-24.28,-24.28,-24.45,-26.83,-23.82,-17.55
,SEA,1,-44.02,-44.02,-40.76,-46.03,-52.95,-61.72
,PHI,1,-2.81,-2.81,-2.32,-15.11,-3.83,-5.26
,CIN,1,19.11,19.11,20.12,23.63,17.54,25.57
,SF,1,-6.19,-6.19,4.65,7.43,-25.59,-21.4
,CLV,1,-60.83,-60.83,-83.71,-100.54,-27.83,-27.69
,CHI,1,-28.38,-28.38,-20.55,-29.18,-42.52,-47.04
,NE,1,-2.69,-2.69,7.06,-20.33,-30.81,-38.3
,CAR,1,-27.79,-27.79,-34.45,-63.93,-12.46,-20.44
,NYG,1,-1.75,-1.75,-6.75,-10.82,8.46,6.84
,ARZ,1,-3.59,-3.59,-6.88,7.82,1.21,3.59
,GB,1,0.21,0.21,13.68,12.73,-20.31,-27.52
,JAX,1,-3.07,-3.07,16.41,32.37,-33.7,-25.88
,ATL,1,8.24,8.24,-5.89,5.38,17.3,13.77
,HST,1,-31.16,-31.16,-56.01,-29.81,-6.05,-6.91
,DEN,1,19.06,19.06,50.39,44.41,-9.72,-14.35
,TB,1,-20.18,-20.18,-25.71,-8.76,-14.2,-7
,MIN,1,23.03,23.03,84.73,97.38,-40.95,-44.28
,PIT,1,55.35,55.35,56.53,44.7,52.49,52.02
,LAC,1,44.51,44.51,44.35,75.08,51.75,62.47
,NYJ,1,-0.1,-0.1,20.53,5.06,-19.72,-13.27
,TEN,1,16.9,16.9,28.84,46.01,2.29,-8.24
,WAS,1,21.81,21.81,37.14,54.12,-0.2,9.76
,NO,1,25.5,25.5,7.17,10,36.76,41.02
,LV,1,9.03,9.03,34.89,52.17,-18.11,-14.32
,MIA,1,0.03,0.03,29.11,-2.09,-15.99,-28.26