BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Jameson  Williams,DET,WR,1,57,93.443,10,7,144,1,14.4,20.571,70,87,12.429,6,44,1,10,7,144,0,0,7.099,0.71,0,0,26.9,26.9
,A.J.  Brown,PHI,WR,1,47,92.157,12,10,132,2,11,13.2,83.333,23,2.3,7,33,1,12,10,132,1,1,6.577,0.548,0,0,35.2,35.2
,CeeDee  Lamb,DAL,WR,1,51,78.462,9,7,112,1,12.444,16,77.778,35,5,4,51,1,9,7,112,2,1,8.845,0.983,0,0,24.2,24.2
,Ja'Marr  Chase,CIN,WR,1,79,97.531,14,7,110,0,7.857,15.714,50,9,1.286,5,43,1,14,7,110,1,0,7.258,0.518,0,0,18,18
,Zach  Ertz,WAS,TE,1,56,63.636,13,10,106,0,8.154,10.6,76.923,35,3.5,6,21,1,13,10,106,1,0,3.562,0.274,0,0,20.6,20.6
,Adonai  Mitchell,NYJ,WR,1,54,78.261,12,8,102,1,8.5,12.75,66.667,1,0.125,4,52,1,12,8,102,3,1,4.766,0.397,0,0,24.2,24.2
,Nico  Collins,HST,WR,1,52,73.239,10,5,98,0,9.8,19.6,50,41,8.2,5,29,0,10,5,98,2,0,6.231,0.623,0,0,21.5,21.5
,Terry  McLaurin,WAS,WR,1,42,47.727,14,7,96,1,6.857,13.714,50,8,1.143,6,20,0,14,7,96,4,1,5.87,0.419,0,0,22.6,22.6
,Isaiah  Likely,BLT,TE,1,29,48.333,6,5,95,0,15.833,19,83.333,42,8.4,2,43,0,6,5,95,0,0,-0.629,-0.105,0,0,14.5,14.5
,Dontayvion  Wicks,GB,WR,1,30,48.387,7,6,94,2,13.429,15.667,85.714,12,2,5,30,0,7,6,94,2,2,11.41,1.63,0,0,28,28
,Devaughn  Vele,NO,WR,1,60,83.333,8,8,93,1,11.625,11.625,100,6,0.75,6,15,0,8,8,93,1,1,9.399,1.175,0,0,23.3,23.3
,Rashee  Rice,KC,WR,1,54,85.714,12,8,92,2,7.667,11.5,66.667,69,8.625,5,28,0,12,8,92,2,1,3.576,0.298,0,0,29.4,29.4
,Jakobi  Meyers,JAX,WR,1,52,88.136,6,6,90,1,15,15,100,45,7.5,4,50,0,6,6,90,1,1,8.147,1.358,0,0,21.3,21.3
,George  Pickens,DAL,WR,1,47,72.308,13,6,88,0,6.769,14.667,46.154,49,8.167,3,39,0,13,6,88,0,0,-2.442,-0.188,0,0,14.8,14.8
,Xavier  Smith,LA,WR,1,20,39.216,3,3,82,0,27.333,27.333,100,32,10.667,2,51,0,3,3,82,0,0,5.375,1.792,0,0,11.2,11.2
,Kyle  Pitts,ATL,TE,1,61,91.045,8,7,82,0,10.25,11.714,87.5,60,8.571,5,24,0,8,7,82,0,0,7.514,0.939,0,0,15.2,15.2
,Trey  McBride,ARZ,TE,1,53,82.813,9,8,82,1,9.111,10.25,88.889,26,3.25,3,20,0,9,8,82,1,1,6.175,0.686,0,0,22.2,22.2
,Christian  Watson,GB,WR,1,43,69.355,10,4,80,1,8,20,40,7,1.75,4,51,0,10,4,80,1,0,3.421,0.342,0,0,18.3,18.3
,Evan  Engram,DEN,TE,1,37,52.113,9,6,79,0,8.778,13.167,66.667,61,10.167,3,41,0,9,6,79,1,0,1.792,0.199,0,0,13.9,13.9
,Alec  Pierce,IND,WR,1,49,96.078,5,4,78,1,15.6,19.5,80,7,1.75,4,22,0,5,4,78,1,1,6.527,1.305,0,0,17.8,17.8
,Chris  Godwin Jr.,TB,WR,1,36,60,5,3,78,0,15.6,26,60,45,15,3,31,0,5,3,78,1,0,4.736,0.947,0,0,10.8,10.8
,Jalen  Coker,CAR,WR,1,34,53.125,6,4,74,1,12.333,18.5,66.667,25,6.25,4,33,0,6,4,74,1,0,7.563,1.261,0,0,17.4,17.4
,Puka  Nacua,LA,WR,1,38,74.51,9,6,72,0,8,12,66.667,42,7,4,31,0,9,6,72,1,0,-2.725,-0.303,0,0,13.2,13.2
,Marvin  Harrison Jr.,ARZ,WR,1,36,56.25,7,6,69,0,9.857,11.5,85.714,11,1.833,4,21,0,7,6,69,1,0,3.558,0.508,0,0,12.9,12.9
,George  Kittle,SF,TE,1,55,84.615,5,4,67,0,13.4,16.75,80,7,1.75,3,33,0,5,4,67,0,0,2.44,0.488,0,0,10.7,10.7
,Jayden  Higgins,HST,WR,1,42,59.155,5,5,65,0,13,13,100,18,3.6,4,19,0,5,5,65,0,0,5.916,1.183,0,0,11.5,11.5
,Deebo  Samuel Sr.,WAS,WR,1,57,64.773,7,5,64,0,9.143,12.8,71.429,21,4.2,3,38,0,7,5,64,0,0,3.371,0.482,0,0,11.1,11.1
,Brock  Bowers,LV,TE,1,44,95.652,4,4,63,2,15.75,15.75,100,16,4,4,27,0,4,4,63,2,2,8.205,2.051,0,0,22.3,22.3
,Courtland  Sutton,DEN,WR,1,56,78.873,6,5,62,1,10.333,12.4,83.333,9,1.8,3,31,0,6,5,62,1,1,6.399,1.067,0,0,17.2,17.2
,Xavier  Worthy,KC,WR,1,53,84.127,6,4,61,0,10.167,15.25,66.667,24,6,1,42,0,6,4,61,0,0,3.015,0.503,0,0,11.4,11.4
,T.J.  Hockenson,MIN,TE,1,39,78,6,6,59,0,9.833,9.833,100,32,5.333,3,29,0,6,6,59,0,0,3.39,0.565,0,0,11.9,11.9
,Davante  Adams,LA,WR,1,38,74.51,5,4,58,2,11.6,14.5,80,14,3.5,4,32,0,5,4,58,2,2,7.109,1.422,0,0,21.8,21.8
,Dalton  Schultz,HST,TE,1,53,74.648,8,7,55,0,6.875,7.857,87.5,22,3.143,2,14,0,8,7,55,0,0,1.253,0.157,0,0,12.5,12.5
,Bijan  Robinson,ATL,RB,1,58,86.567,7,5,51,0,7.286,10.2,71.429,68,13.6,1,42,0,7,5,51,0,0,0.687,0.098,0,0,30.3,30.3
,DeVonta  Smith,PHI,WR,1,46,90.196,8,5,48,0,6,9.6,62.5,19,3.8,2,30,0,8,5,48,0,0,2.618,0.327,0,0,9.8,9.8
,Mark  Andrews,BLT,TE,1,39,65,6,4,47,0,7.833,11.75,66.667,17,4.25,2,19,0,6,4,47,0,0,-3.031,-0.505,0,0,8.7,8.7
,Darren  Waller,MIA,TE,1,26,42.623,3,2,47,0,15.667,23.5,66.667,19,9.5,1,34,0,3,2,47,1,0,1.995,0.665,0,0,6.7,6.7
,Chris  Olave,NO,WR,1,60,83.333,7,4,47,1,6.714,11.75,57.143,3,0.75,3,17,0,7,4,47,2,1,-1.754,-0.251,0,0,14.7,14.7
,Michael  Carter,ARZ,RB,1,28,43.75,6,5,47,0,7.833,9.4,83.333,47,9.4,2,15,0,6,5,47,0,0,2.114,0.352,0,0,11.4,11.4
,Adam  Trautman,DEN,TE,1,40,56.338,4,3,47,0,11.75,15.667,75,28,9.333,3,22,0,4,3,47,0,0,4.994,1.249,0,0,7.7,7.7
,Travis  Kelce,KC,TE,1,56,88.889,6,5,45,1,7.5,9,83.333,21,4.2,2,22,0,6,5,45,1,1,5.487,0.915,0,0,15.5,15.5
,Brenton  Strange,JAX,TE,1,43,72.881,4,3,45,1,11.25,15,75,12,4,3,21,0,4,3,45,1,1,2.064,0.516,0,0,13.5,13.5
,Darnell  Washington,PIT,TE,1,34,79.07,4,2,45,0,11.25,22.5,50,25,12.5,1,26,0,4,2,45,0,0,-1.059,-0.265,0,0,6.5,6.5
,Derrick  Henry,BLT,RB,1,22,36.667,1,1,44,0,44,44,100,42,42,1,44,0,1,1,44,0,0,2.873,2.873,0,0,17.4,17.4
,Josh  Downs,IND,WR,1,28,54.902,6,2,44,0,7.333,22,33.333,5,2.5,2,34,0,6,2,44,0,0,0.251,0.042,0,0,6.4,6.4
,Tetairoa  McMillan,CAR,WR,1,46,71.875,2,1,43,1,21.5,43,50,20,20,1,43,0,2,1,43,0,0,5.709,2.855,0,0,11.3,11.3
,Harold  Fannin Jr.,CLV,TE,1,55,90.164,5,3,43,1,8.6,14.333,60,19,6.333,1,34,0,5,3,43,0,0,1.602,0.32,0,0,13.3,13.3
,Emeka  Egbuka,TB,WR,1,49,81.667,8,4,42,0,5.25,10.5,50,18,4.5,1,23,0,8,4,42,0,0,-1.994,-0.249,0,0,8.2,8.2
,Pat  Bryant,DEN,WR,1,46,64.789,7,3,42,0,6,14,42.857,18,6,2,21,0,7,3,42,0,0,-2.151,-0.307,0,0,7.2,7.2
,Chuba  Hubbard,CAR,RB,1,36,56.25,2,2,41,1,20.5,20.5,100,46,23,1,35,0,2,2,41,0,0,4.313,2.157,0,0,20.4,20.4
,Jaylen  Waddle,MIA,WR,1,53,86.885,6,3,40,0,6.667,13.333,50,11,3.667,3,22,0,6,3,40,1,0,-2.33,-0.388,0,0,7,7
,Jauan  Jennings,SF,WR,1,52,80,6,4,39,1,6.5,9.75,66.667,2,0.5,4,13,0,6,4,39,1,1,6.421,1.07,0,0,13.9,13.9
,Xavier  Hutchinson,HST,WR,1,39,54.93,5,2,39,0,7.8,19.5,40,16,8,2,24,0,5,2,39,1,0,0.017,0.003,0,0,5.9,5.9
,Juwan  Johnson,NO,TE,1,49,68.056,9,5,39,0,4.333,7.8,55.556,19,3.8,2,11,0,9,5,39,0,0,-1.78,-0.198,0,0,8.9,8.9
,Ladd  McConkey,LAC,WR,1,51,71.831,6,4,39,1,6.5,9.75,66.667,5,1.25,2,15,0,6,4,39,1,1,-1.923,-0.32,0,0,13.9,13.9
,Tom  Kennedy,DET,WR,1,40,65.574,4,4,36,0,9,9,100,4,1,2,23,0,4,4,36,0,0,4.502,1.126,0,0,7.6,7.6
,Jake  Ferguson,DAL,TE,1,47,72.308,6,5,36,0,6,7.2,83.333,30,6,2,11,0,6,5,36,1,0,4.572,0.762,0,0,8.6,8.6
,Cole  Kmet,CHI,TE,1,57,65.517,3,3,36,1,12,12,100,10,3.333,1,28,0,3,3,36,1,1,3.771,1.257,0,0,12.6,12.6
,Jonathan  Taylor,IND,RB,1,50,98.039,5,3,36,0,7.2,12,60,40,13.333,1,33,0,5,3,36,0,0,-0.193,-0.039,0,0,15.1,15.1
,Michael  Wilson,ARZ,WR,1,56,87.5,7,3,36,0,5.143,12,42.857,9,3,3,16,0,7,3,36,1,0,-8.396,-1.199,0,0,6.6,6.6
,Bam  Knight,ARZ,RB,1,31,48.438,3,3,36,1,12,12,100,24,8,2,15,0,3,3,36,1,1,4.07,1.357,0,0,18.8,18.8
,Jordan  Addison,MIN,WR,1,45,90,10,5,36,0,3.6,7.2,50,6,1.2,2,11,0,10,5,36,0,0,-2.11,-0.211,0,0,8.6,8.6
,Isaac  TeSlaa,DET,WR,1,55,90.164,2,2,35,1,17.5,17.5,100,1,0.5,2,18,0,2,2,35,1,1,3.235,1.618,0,0,11.5,11.5
,Chase  Brown,CIN,RB,1,47,58.025,7,7,35,0,5,5,100,46,6.571,1,9,0,7,7,35,0,0,-0.16,-0.023,0,0,18.3,18.3
,Tyler  Allgeier,ATL,RB,1,16,23.881,2,2,35,0,17.5,17.5,100,39,19.5,1,31,0,2,2,35,0,0,1.711,0.855,0,0,13.5,13.5
,AJ  Barner,SEA,TE,1,53,85.484,5,4,35,0,7,8.75,80,30,7.5,2,13,0,5,4,35,0,0,4.526,0.905,0,0,7.7,7.7
,Ryan  Flournoy,DAL,WR,1,24,36.923,3,3,34,0,11.333,11.333,100,13,4.333,2,17,0,3,3,34,0,0,1.668,0.556,0,0,6.4,6.4
,Luther  Burden III,CHI,WR,1,41,47.126,6,4,33,0,5.5,8.25,66.667,24,6,1,11,0,6,4,33,0,0,-1.728,-0.288,0,0,7.6,7.6
,James  Cook,BUF,RB,1,45,57.692,3,3,33,0,11,11,100,37,12.333,2,16,0,3,3,33,0,0,3.081,1.027,0,0,20.7,20.7
,DK  Metcalf,PIT,WR,1,37,86.047,5,3,32,0,6.4,10.667,60,16,5.333,2,14,0,5,3,32,0,0,4.948,0.99,0,0,6.2,6.2
,Malik  Washington,MIA,WR,1,33,54.098,5,4,30,0,6,7.5,80,31,7.75,2,19,0,5,4,30,0,0,0.137,0.027,0,0,7,7
,Ashton  Jeanty,LV,RB,1,43,93.478,8,6,30,0,3.75,5,75,49,8.167,0,8,0,8,6,30,0,0,-0.449,-0.056,0,0,12.1,12.1
,Keenan  Allen,LAC,WR,1,40,56.338,5,4,30,0,6,7.5,80,0,0,3,10,0,5,4,30,1,0,3.804,0.761,0,0,7,7
,Tre  Harris,LAC,WR,1,32,45.07,4,3,30,0,7.5,10,75,20,6.667,2,16,0,4,3,30,0,0,3.132,0.783,0,0,6,6
,Andrei  Iosivas,CIN,WR,1,75,92.593,2,1,29,1,14.5,29,50,3,3,1,29,0,2,1,29,1,0,2.41,1.205,0,0,9.9,9.9
,Chig  Okonkwo,TEN,TE,1,33,58.929,5,4,29,0,5.8,7.25,80,3,0.75,1,16,0,5,4,29,0,0,-0.781,-0.156,0,0,6.9,6.9
,KaVontae  Turpin,DAL,WR,1,25,38.462,2,2,28,0,14,14,100,28,14,2,19,0,2,2,28,0,0,1.931,0.966,0,0,8.1,8.1
,Colston  Loveland,CHI,TE,1,49,56.322,6,3,28,0,4.667,9.333,50,1,0.333,2,13,0,6,3,28,0,0,3.203,0.534,0,0,5.8,5.8
,Brian  Thomas Jr.,JAX,WR,1,42,71.186,3,2,28,0,9.333,14,66.667,12,6,2,17,0,3,2,28,0,0,3.129,1.043,0,0,4.8,4.8
,Dawson  Knox,BUF,TE,1,56,71.795,4,3,28,0,7,9.333,75,7,2.333,2,16,0,4,3,28,0,0,1.599,0.4,0,0,5.8,5.8
,Dallas  Goedert,PHI,TE,1,43,84.314,4,2,27,0,6.75,13.5,50,5,2.5,1,22,0,4,2,27,0,0,-1.87,-0.467,0,0,4.7,4.7
,Colby  Parkinson,LA,TE,1,34,66.667,5,4,27,0,5.4,6.75,80,27,6.75,3,12,0,5,4,27,1,0,-3.839,-0.768,0,0,6.7,6.7
,Kyle  Juszczyk,SF,FB,1,22,33.846,2,2,27,0,13.5,13.5,100,4,2,1,23,0,2,2,27,0,0,1.642,0.821,0,0,4.7,4.7
,Oronde  Gadsden II,LAC,TE,1,45,63.38,2,1,27,0,13.5,27,50,4,4,1,27,0,2,1,27,0,0,1.94,0.97,0,0,3.7,3.7
,RJ  Harvey,DEN,RB,1,32,45.07,4,3,27,0,6.75,9,75,28,9.333,2,12,0,4,3,27,0,0,1.001,0.25,0,0,21.2,21.2
,Jerry  Jeudy,CLV,WR,1,52,85.246,4,3,26,0,6.5,8.667,75,2,0.667,1,11,0,4,3,26,0,0,0.541,0.135,0,0,5.6,5.6
,Parker  Washington,JAX,WR,1,21,35.593,3,1,26,0,8.667,26,33.333,2,2,1,26,0,3,1,26,0,0,0.555,0.185,0,0,3.6,3.6
,DeAndre  Hopkins,BLT,WR,1,23,38.333,3,2,25,0,8.333,12.5,66.667,2,1,1,15,0,3,2,25,0,0,0.875,0.292,0,0,4.5,4.5
,Darnell  Mooney,ATL,WR,1,64,95.522,5,2,25,0,5,12.5,40,13,6.5,2,16,0,5,2,25,1,0,0.035,0.007,0,0,4.5,4.5
,Tyjae  Spears,TEN,RB,1,25,44.643,6,6,25,0,4.167,4.167,100,21,3.5,2,10,0,6,6,25,0,0,0.714,0.119,0,0,8.4,8.4
,Kenneth  Gainwell,PIT,RB,1,18,41.86,3,2,25,0,8.333,12.5,66.667,30,15,1,17,0,3,2,25,0,0,0.137,0.046,0,0,6.5,6.5
,Greg  Dulcich,MIA,TE,1,19,31.148,2,2,24,0,12,12,100,7,3.5,1,21,0,2,2,24,0,0,2.03,1.015,0,0,4.4,4.4
,Cooper  Kupp,SEA,WR,1,46,74.194,4,3,24,0,6,8,75,16,5.333,1,13,0,4,3,24,0,0,0.128,0.032,0,0,5.4,5.4
,Luke  Musgrave,GB,TE,1,33,53.226,1,1,23,0,23,23,100,2,2,1,23,0,1,1,23,0,0,1.903,1.903,0,0,3.3,3.3
,Gage  Larvadain,CLV,WR,1,17,27.869,3,2,23,0,7.667,11.5,66.667,6,3,2,13,0,3,2,23,0,0,1.498,0.499,0,0,4.3,4.3
,Gunnar  Helm,TEN,TE,1,30,53.571,7,6,23,0,3.286,3.833,85.714,2,0.333,0,6,0,7,6,23,1,0,-4.056,-0.579,0,0,8.3,8.3
,Jaxon  Smith-Njigba,SEA,WR,1,50,80.645,4,2,23,0,5.75,11.5,50,23,11.5,2,17,0,4,2,23,0,0,1.114,0.278,0,0,4.3,4.3
,Quentin  Johnston,LAC,WR,1,45,63.38,3,3,23,1,7.667,7.667,100,5,1.667,2,10,0,3,3,23,0,0,4.397,1.466,0,0,11.3,11.3
,Kareem  Hunt,KC,RB,1,40,63.492,2,1,22,0,11,22,50,22,22,1,22,0,2,1,22,0,0,1.991,0.996,0,0,9,9
,Mitchell  Tinsley,CIN,WR,1,53,65.432,9,2,22,0,2.444,11,22.222,9,4.5,1,14,0,9,2,22,2,0,-1.875,-0.208,0,0,4.2,4.2
,Tyler  Warren,IND,TE,1,44,86.275,4,3,22,1,5.5,7.333,75,4,1.333,1,12,0,4,3,22,1,1,0.834,0.208,0,0,11.2,11.2
,Devin  Neal,NO,RB,1,56,77.778,3,3,22,0,7.333,7.333,100,25,8.333,0,10,0,3,3,22,0,0,0.303,0.101,0,0,9.9,9.9
,Rachaad  White,TB,RB,1,21,35,3,3,22,0,7.333,7.333,100,35,11.667,0,11,0,3,3,22,0,0,0.057,0.019,0,0,5.9,5.9
,Aaron  Jones,MIN,RB,1,19,38,4,4,22,0,5.5,5.5,100,46,11.5,1,13,0,4,4,22,0,0,-3.111,-0.778,0,0,6.5,6.5
,Jack  Bech,LV,WR,1,25,54.348,3,2,22,0,7.333,11,66.667,8,4,2,16,0,3,2,22,0,0,0.228,0.076,0,0,4.2,4.2
,Javonte  Williams,DAL,RB,1,50,76.923,3,3,21,1,7,7,100,31,10.333,2,14,0,3,3,21,0,0,2.874,0.958,0,0,17,17
,Rico  Dowdle,CAR,RB,1,24,37.5,2,2,21,0,10.5,10.5,100,32,16,1,13,0,2,2,21,0,0,0.728,0.364,0,0,9.9,9.9
,Christian  McCaffrey,SF,RB,1,52,80,4,4,21,0,5.25,5.25,100,25,6.25,2,12,0,4,4,21,0,0,2.643,0.661,0,0,17.4,17.4
,Mason  Taylor,NYJ,TE,1,54,78.261,4,2,21,0,5.25,10.5,50,6,3,2,15,0,4,2,21,0,0,0.083,0.021,0,0,4.1,4.1
,Cody  White,SEA,WR,1,14,22.581,1,1,21,0,21,21,100,13,13,1,21,0,1,1,21,0,0,2.87,2.87,0,0,3.1,3.1
,Troy  Franklin,DEN,WR,1,39,54.93,3,2,21,0,7,10.5,66.667,0,0,1,17,0,3,2,21,0,0,-0.093,-0.031,0,0,4.1,4.1
,Romeo  Doubs,GB,WR,1,48,77.419,4,4,20,1,5,5,100,9,2.25,2,8,0,4,4,20,1,1,3.789,0.947,0,0,12,12
,Marquise  Brown,KC,WR,1,26,41.27,2,2,20,1,10,10,100,3,1.5,2,10,0,2,2,20,1,1,3.153,1.577,0,0,10,10
,Mitchell  Evans,CAR,TE,1,29,45.313,3,3,20,0,6.667,6.667,100,23,7.667,1,7,0,3,3,20,0,0,1.065,0.355,0,0,5,5
,Mason  Tipton,NO,WR,1,58,80.556,4,3,20,0,5,6.667,75,17,5.667,1,10,0,4,3,20,0,0,-1.994,-0.499,0,0,4.9,4.9
,Bucky  Irving,TB,RB,1,31,51.667,2,2,20,0,10,10,100,30,15,1,20,0,2,2,20,0,0,0.617,0.309,0,0,16.1,16.1
,Van  Jefferson,TEN,WR,1,40,71.429,4,3,20,0,5,6.667,75,2,0.667,0,12,0,4,3,20,0,0,-0.461,-0.115,0,0,5,5
,Tre  Tucker,LV,WR,1,43,93.478,3,3,20,0,6.667,6.667,100,6,2,1,9,0,3,3,20,0,0,0.778,0.259,0,0,5,5
,Ty  Johnson,BUF,RB,1,20,25.641,5,3,20,0,4,6.667,60,18,6,2,9,0,5,3,20,0,0,0.13,0.026,0,0,5.5,5.5
,Mike  Gesicki,CIN,TE,1,22,27.16,4,2,19,0,4.75,9.5,50,4,2,1,11,0,4,2,19,2,0,-0.239,-0.06,0,0,3.9,3.9
,Olamide  Zaccheaus,CHI,WR,1,24,27.586,3,2,19,0,6.333,9.5,66.667,15,7.5,2,10,0,3,2,19,1,0,2.705,0.902,0,0,3.9,3.9
,John  Metchie III,NYJ,WR,1,60,86.957,8,4,19,0,2.375,4.75,50,11,2.75,0,7,0,8,4,19,0,0,-4.667,-0.583,0,0,5.7,5.7
,Jahmyr  Gibbs,DET,RB,1,44,72.131,4,3,18,0,4.5,6,75,3,1,1,7,0,4,3,18,0,0,1.397,0.349,0,0,11.6,11.6
,Quinshon  Judkins,CLV,RB,1,37,60.656,3,3,18,0,6,6,100,26,8.667,1,13,0,3,3,18,0,0,0.176,0.059,0,0,13.9,13.9
,Isaiah  Bond,CLV,WR,1,18,29.508,2,1,18,0,9,18,50,0,0,1,18,0,2,1,18,0,0,0.305,0.152,0,0,3.7,3.7
,Kenneth  Walker III,SEA,RB,1,33,53.226,4,3,18,0,4.5,6,75,27,9,2,14,0,4,3,18,0,0,0.704,0.176,0,0,10.4,10.4
