BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Mac  Jones,SF,QB,1,69,100,39,47,39,27,69.231,347,8.897,0,2,10,1,75.481,-5.566,-0.118,-100.173,-48.76,11.18,11.18
,Jacoby  Brissett,ARZ,QB,1,71,100,44,47,44,27,61.364,320,7.273,2,1,17,1,89.205,5.598,0.119,72.817,14.6,20.7,20.7
,Sam  Darnold,SEA,QB,1,55,100,27,29,27,16,59.259,295,10.926,2,0,10,0,121.682,10.525,0.363,106.663,49.44,20,20
,Jalen  Hurts,PHI,QB,1,58,100,33,38,33,24,72.727,283,8.576,1,1,15,0,95.896,-1.353,-0.036,70.588,16.04,20.62,20.62
,Justin  Herbert,LAC,QB,1,64,100,38,39,38,29,76.316,264,6.947,2,0,13,0,112.171,6.935,0.178,80.489,20.17,18.76,18.76
,Dak  Prescott,DAL,QB,1,53,100,34,34,34,25,73.529,261,7.676,3,0,12,0,124.755,22.155,0.652,143.099,51.78,22.34,22.34
,Drake  Maye,NE,QB,1,62,100,26,31,26,18,69.231,261,10.038,3,0,12,0,140.064,17.392,0.561,167.324,89.94,25.24,25.24
,Jordan  Love,GB,QB,1,64,100,26,31,26,19,73.077,259,9.962,1,1,11,0,101.282,7.886,0.254,37.544,9.46,14.96,14.96
,Trevor  Lawrence,JAX,QB,1,53,76.812,42,50,42,27,64.286,258,6.143,2,0,13,0,97.123,-2.509,-0.05,6.345,-8.98,19.22,19.22
,Patrick  Mahomes,KC,QB,1,67,100,30,38,30,22,73.333,257,8.567,3,0,16,0,132.222,18.701,0.492,143.604,47.63,31.48,31.48
,Baker  Mayfield,TB,QB,1,51,100,23,25,23,17,73.913,256,11.13,2,0,9,0,139.04,12.236,0.489,99.327,55.83,19.64,19.64
,Caleb  Williams,CHI,QB,1,60,100,29,33,29,17,58.621,252,8.69,1,0,10,0,98.635,2.507,0.076,24.097,1.15,19.88,19.88
,Michael  Penix Jr.,ATL,QB,1,67,100,32,35,32,20,62.5,250,7.813,1,0,10,0,97.135,4.082,0.117,85.195,27.56,14.6,14.6
,Aaron  Rodgers,PIT,QB,1,56,94.915,30,31,30,21,70,235,7.833,2,0,11,0,115.278,9.597,0.31,115.459,54.12,17.5,17.5
,Spencer  Rattler,NO,QB,1,52,98.113,26,30,26,20,76.923,227,8.731,0,0,8,0,102.564,-2.722,-0.091,34.207,8.97,11.08,11.08
,Cam  Ward,TEN,QB,1,59,100,38,44,38,26,68.421,222,5.842,1,1,11,0,81.25,-10.95,-0.249,-151.83,-61.77,10.88,10.88
,Dillon  Gabriel,CLV,QB,1,75,100,52,58,52,29,55.769,221,4.25,0,0,10,0,66.266,-9.672,-0.167,-130.462,-45.99,8.84,8.84
,Joe  Flacco,CIN,QB,1,62,100,45,46,45,29,64.444,219,4.867,2,0,12,0,90.88,6.583,0.143,57.901,8.36,16.76,16.76
,Daniel  Jones,IND,QB,1,60,100,30,33,30,22,73.333,212,7.067,2,1,13,0,100.972,2.849,0.086,44.824,11.4,22.48,22.48
,Jayden  Daniels,WAS,QB,1,66,100,26,35,26,19,73.077,211,8.115,3,1,11,0,119.231,12.045,0.344,74.789,30.62,23.64,23.64
,Tua  Tagovailoa,MIA,QB,1,56,98.246,32,35,32,21,65.625,205,6.406,1,3,10,0,54.818,-3.407,-0.097,-78.262,-47.04,6.6,6.6
,Jared  Goff,DET,QB,1,54,100,29,31,29,23,79.31,203,7,2,0,13,0,118.822,6.711,0.216,88.633,28.08,16.82,16.82
,Bryce  Young,CAR,QB,1,65,100,25,27,25,17,68,199,7.96,3,1,11,0,114.833,4.698,0.174,34.385,6.81,18.46,18.46
,Jaxson  Dart,NYG,QB,1,70,97.222,25,32,25,17,68,195,7.8,1,0,8,0,104.583,10.92,0.341,95.568,40.19,23.6,23.6
,Matthew  Stafford,LA,QB,1,52,100,26,29,26,17,65.385,181,6.962,1,0,10,0,98.397,3.987,0.137,12.33,-5.4,11.34,11.34
,Josh  Allen,BUF,QB,1,58,100,26,34,26,15,57.692,180,6.923,2,2,8,0,72.596,-6.685,-0.197,-38.469,-30.58,15.4,15.4
,Bo  Nix,DEN,QB,1,59,100,30,33,30,19,63.333,174,5.8,1,0,10,0,90.139,-3.572,-0.108,8.892,-6.48,13.36,13.36
,Geno  Smith,LV,QB,1,57,100,23,25,23,17,73.913,174,7.565,1,1,9,0,91.576,5.929,0.237,-15.464,-19.63,8.66,8.66
,Cooper  Rush,BLT,QB,1,50,64.935,19,19,19,11,57.895,72,3.789,0,1,3,0,44.189,-13.183,-0.694,-51.57,-55.54,0.88,0.88
,Tyler  Huntley,BLT,QB,1,27,35.065,15,21,15,10,66.667,68,4.533,0,0,3,0,76.528,-7.257,-0.346,-56.349,-69,6.62,6.62
,Justin  Fields,NYJ,QB,1,59,98.333,17,29,17,9,52.941,45,2.647,0,0,2,0,57.23,-20.723,-0.715,-150.629,-106.74,4.9,4.9
,Russell  Wilson,NYG,QB,1,2,2.778,1,1,1,0,0,0,0,0,0,0,0,2.083,-1.768,-1.768,-3.343,-81.03,0,0